divipola5,anio,hurto_personas_total,hurto_vehiculos_total,hurto_residencias_total,hurto_comercio_total,capturas_total,homicidios_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,hurto_total,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,hurto_residencias_per_capita,hurto_comercio_per_capita,hurto_total_per_capita,capturas_per_capita,homicidios_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
68575,2020,23,11.0,10.0,28.0,59.0,12.0,29.0,82.0,2154.0,72.0,0.0,0.0,0.0,0.0,0.0,,,,0,34379.0,6.69013060298438,3.1996276796881817,2.908752436080165,8.144506821024462,20.94301753977719,17.161639372872973,3.4905029232961984,8.43538206463248,0.0,0.0,0.0
68575,2021,38,18.0,23.0,16.0,48.0,13.0,33.0,31.0,1710.0,95.0,0.0,0.0,0.0,0.0,0.0,,,,0,34876.0,10.895744924876707,5.161142332836334,6.594792980846427,4.587682073632298,27.239362312191762,13.763046220896893,3.7274916848262416,9.462094276866614,0.0,0.0,0.0
68575,2022,53,17.0,37.0,21.0,60.0,26.0,46.0,79.0,2742.0,128.0,0.0,0.0,0.0,0.0,0.0,,,,0,35239.0,15.040154374414712,4.824200459717926,10.499730412327251,5.959306450239792,36.32339169669968,17.026589857827975,7.378188938392123,13.053718891001447,0.0,0.0,0.0
68575,2023,45,13.0,35.0,22.0,52.0,17.0,28.0,152.0,1432.0,115.0,0.0,0.0,0.0,0.0,0.0,,,,0,35594.0,12.642580210147777,3.652300949598247,9.833117941226048,6.180816991627802,32.308816092599876,14.609203798392988,4.7760858571669385,7.8664943529808395,0.0,0.0,0.0
68575,2024,31,13.0,20.0,14.0,46.0,16.0,27.0,405.0,1335.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,0,35915.0,8.631491020464987,3.6196575247111236,5.568703884170959,3.8980927189196715,21.717945148266743,12.808018933593205,4.454963107336767,7.517750243630795,0.0,0.0,0.0
68575,2025,29,18.0,28.0,13.0,45.0,18.0,22.0,1.0,573.0,88.0,0.0,0.0,0.0,0.0,0.0,,,,0,36165.0,8.018802709802294,4.977187888842804,7.74229227153325,3.5946356974975804,24.33291856767593,12.44296972210701,4.977187888842804,6.083229641918982,0.0,0.0,0.0
68615,2003,6,7.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,,,,0,30298.0,1.9803287345699385,2.3103835236649286,1.6502739454749487,0.0,5.940986203709817,0.0,2.9704931018549083,0.0,0.0,0.0,0.0
68615,2004,7,6.0,3.0,2.0,0.0,14.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,,,,0,29782.0,2.350413001141629,2.014639715264254,1.007319857632127,0.6715465717547512,6.043919145792761,0.0,4.700826002283258,0.0,0.0,0.0,0.0
68615,2005,8,6.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,0,29382.0,2.7227554284936355,2.0420665713702264,0.34034442856170444,0.34034442856170444,5.445510856987271,0.0,1.701722142808522,0.0,0.0,0.0,0.0
68615,2006,1,6.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,0,29122.0,0.3433830094086945,2.060298056452167,1.0301490282260835,0.0,3.433830094086945,0.0,1.7169150470434724,0.0,0.0,0.0,0.0
68615,2007,9,10.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,0,28900.0,3.1141868512110724,3.460207612456747,0.34602076124567477,0.0,6.920415224913494,0.0,2.422145328719723,0.0,0.0,0.0,0.0
68615,2009,26,4.0,6.0,6.0,0.0,10.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,,,,0,28444.0,9.140767824497258,1.406271972999578,2.109407959499367,2.109407959499367,14.76585571649557,0.0,3.5156799324989456,0.0,0.0,0.0,0.0
68615,2010,47,9.0,11.0,8.0,24.0,6.0,11.0,1.2,1578.0,75.0,0.0,0.0,0.0,0.0,0.0,,,,0,28219.0,16.655444913001876,3.1893405152556786,3.898082851979163,2.8349693468939368,26.57783762713066,8.50490804068181,2.1262270101704526,3.898082851979163,0.0,0.0,0.0
68615,2011,26,2.0,19.0,12.0,42.0,9.0,31.0,110.0,504.6,59.0,0.0,0.0,0.0,0.0,0.0,,,,0,27989.0,9.289363678588018,0.7145664368144629,6.788381149737397,4.287398620886777,21.079709886026652,15.005895173103719,3.2155489656650826,11.075779770624173,0.0,0.0,0.0
68615,2012,29,4.0,18.0,9.0,45.0,4.0,61.0,7.0,661401.0,60.0,0.0,0.0,0.0,0.0,0.0,,,,0,27775.0,10.441044104410441,1.4401440144014401,6.480648064806481,3.2403240324032403,21.602160216021602,16.2016201620162,1.4401440144014401,21.962196219621962,0.0,0.0,0.0
